path,action,to_url,priority,rationale
/tools?category=finance ai,301,https://siteoptz.ai/tools,high,Invalid category → main tools page
/tools?category=lead generation,301,https://siteoptz.ai/tools,high,Invalid category → main tools page
/tools?category=ux,301,https://siteoptz.ai/categories/ux,high,Category param → canonical category page
/tools?category=image generation,301,https://siteoptz.ai/categories/image-generation,high,Category param → canonical category page
/tools?category=ai automation,301,https://siteoptz.ai/categories/ai-automation,high,Category param → canonical category page
/tools?category=paid search & ppc,301,https://siteoptz.ai/tools,high,Invalid category → main tools page
/tools?category=video generation,301,https://siteoptz.ai/categories/video-generation,high,Category param → canonical category page
/tools?category=e-commerce,301,https://siteoptz.ai/tools,high,Invalid category → main tools page
/tools?category=email marketing,301,https://siteoptz.ai/categories/email-marketing,high,Category param → canonical category page
/tools?category=productivity,301,https://siteoptz.ai/categories/productivity,high,Category param → canonical category page
/tools?category=seo & optimization,301,https://siteoptz.ai/tools,high,Invalid category → main tools page
/tools?category=code generation,301,https://siteoptz.ai/categories/code-generation,high,Category param → canonical category page
/tools?category=content creation,301,https://siteoptz.ai/categories/content-creation,high,Category param → canonical category page
/tools?category=best voice ai tools,301,https://siteoptz.ai/categories/best-voice-ai-tools,high,Category param → canonical category page
/tools?category=research & education,301,https://siteoptz.ai/tools,high,Invalid category → main tools page
/tools?category=social media,301,https://siteoptz.ai/categories/social-media,high,Category param → canonical category page
/tools?category=website builder,301,https://siteoptz.ai/categories/website-builder,high,Category param → canonical category page
/tools?category=data analysis,301,https://siteoptz.ai/categories/data-analysis,high,Category param → canonical category page
/categories/e-commerce,410,,low,Category discontinued - no equivalent
/tools?category=ai education,301,https://siteoptz.ai/tools,low,Invalid category → main tools page
/tools?category=ai for business,301,https://siteoptz.ai/tools,low,Invalid category → main tools page
/tools?category=ai translator,301,https://siteoptz.ai/tools,low,Invalid category → main tools page
/tools?category=ai website builder,301,https://siteoptz.ai/categories/website-builder,low,Category param → canonical category page
/tools?category=health ai,301,https://siteoptz.ai/tools,low,Invalid category → main tools page
/tools?category=voice ai,301,https://siteoptz.ai/categories/best-voice-ai-tools,low,Category param → canonical category page
/tools?category=writing,301,https://siteoptz.ai/categories/content-creation,low,Category param → canonical category page
/reviews/speechki-text-to-speech-ai,301,https://siteoptz.ai/reviews/speechmatics,low,Old review URL → current review page
/reviews/text-to-video-stunning-video-creation,410,,low,Review discontinued
/reviews/cohere,301,https://siteoptz.ai/reviews/cohere-ai,low,Old review URL → current review page
/reviews/webbotify-ai-powered-chatbot-platform,301,https://siteoptz.ai/reviews/manychat,low,Old review URL → current review page
/reviews/stable-diffusion-web,410,,low,Review discontinued
/reviews/universe-no-code-custom-website-builder,301,https://siteoptz.ai/reviews/universe-nocode-custom-website-builder,low,Old review URL → current review page
/reviews/convertfiles-ai-free-image-file-converter,301,https://siteoptz.ai/reviews/convertfilesai-free-image-file-converter,low,Old review URL → current review page
/reviews/tellers-ai-automatic-text-to-video-tool,301,https://siteoptz.ai/reviews/tellersai-automatic-texttovideo-tool,low,Old review URL → current review page
/reviews/videotube,301,https://siteoptz.ai/reviews/videotube-ai,low,Old review URL → current review page
/reviews/explee,301,https://siteoptz.ai/reviews/explee-ai,low,Old review URL → current review page
/reviews/divedeck-ai-powered-deck-builder,301,https://siteoptz.ai/reviews/divedeck-aipowered-deck-builder,low,Old review URL → current review page
/reviews/unreal-speech-cost-effective-text-to-speech-api,301,https://siteoptz.ai/reviews/unreal-speech-costeffective-texttospeech-api,low,Old review URL → current review page
/reviews/kleap,301,https://siteoptz.ai/reviews/kleap-ai,low,Old review URL → current review page
/tools/ai-roi-calculator,301,https://siteoptz.ai/tools/ai-cost-calculator,low,Calculator URL → current calculator
/case-studies/manufacturing-ai,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/automation-toolkit,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/ai-strategy-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/case-studies/ai-content-creators,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/creator-ai-toolkit,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/content-ai-comparison,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/content-roi-calculator,301,https://siteoptz.ai/tools/content-roi-calculator,low,Calculator URL → current calculator
/tools/chatbot-roi-calculator,301,https://siteoptz.ai/tools/chatbot-roi-calculator,low,Calculator URL → current calculator
/case-studies/ai-customer-service,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/cs-automation-checklist,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/security-platform-comparison,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/case-studies/ai-cybersecurity,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/ai-security-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/security-roi-calculator,301,https://siteoptz.ai/tools/security-roi-calculator,low,Calculator URL → current calculator
/resources/ai-analytics-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/case-studies/predictive-analytics,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/analytics-platform-comparison,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/data-science-roi,301,https://siteoptz.ai/tools,low,Discontinued calculator → tools page
/tools/conversion-roi-calculator,301,https://siteoptz.ai/tools/conversion-roi-calculator,low,Calculator URL → current calculator
/resources/personalization-strategy,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/ecommerce-ai-playbook,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/risk-management-ai,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/fintech-ai-roi,301,https://siteoptz.ai/tools,low,Discontinued calculator → tools page
/resources/algorithmic-trading-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/healthcare-ai-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/hipaa-ai-compliance,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/healthcare-ai-roi,301,https://siteoptz.ai/tools/healthcare-ai-roi,low,Calculator URL → current calculator
/case-studies/healthcare-ai,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/tools/recruitment-roi-calculator,301,https://siteoptz.ai/tools/recruitment-roi-calculator,low,Calculator URL → current calculator
/resources/hr-ai-implementation,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/case-studies/smart-manufacturing,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/industry-40-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/predictive-maintenance,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/tools/manufacturing-roi-calculator,301,https://siteoptz.ai/tools/manufacturing-roi-calculator,low,Calculator URL → current calculator
/tools/sales-ai-roi,301,https://siteoptz.ai/tools/sales-ai-roi,low,Calculator URL → current calculator
/case-studies/sales-ai,301,https://siteoptz.ai/case-studies,low,Missing case study → case studies hub
/resources/lead-scoring-guide,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/sales-ai-playbook,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
/resources/ai-security-checklist,301,https://siteoptz.ai/resources,low,Missing resource → resources hub
