Tool Name,Slug,Primary Keyword,Volume,CPC,Competition,Secondary Keywords Count,Total Volume
"n8n",n8n,"n8n review",0,0.00,"error",5,0
"Rytr",rytr,"rytr review",0,0.00,"error",5,0
"Suno",suno,"suno review",0,0.00,"error",5,0
"Make",make,"make review",0,0.00,"error",5,0
"Cursor",cursor,"cursor review",0,0.00,"error",5,0
"ChatGPT",chatgpt,"chatgpt review",0,0.00,"error",5,0
"Claude",claude,"claude review",0,0.00,"error",5,0
"Jasper AI",jasper-ai,"jasper ai review",0,0.00,"error",5,0
"Midjourney v6",midjourney,"midjourney v6 review",0,0.00,"error",5,0
"Notion AI",notion-ai,"notion ai review",0,0.00,"error",5,0
