Industry,Slug,Keyword,Search Volume,CPC,Competition,Difficulty,Keyword Type,Opportunity Score
"Healthcare & Life Sciences",healthcare-life-sciences,"AI in healthcare",18100,6.45,medium,67,primary,270
"Healthcare & Life Sciences",healthcare-life-sciences,"healthcare artificial intelligence",8900,7.12,medium,72,secondary,124
"Healthcare & Life Sciences",healthcare-life-sciences,"medical AI tools",5400,8.23,medium,69,secondary,78
"Healthcare & Life Sciences",healthcare-life-sciences,"AI medical diagnosis",4800,9.15,high,75,secondary,64
"Healthcare & Life Sciences",healthcare-life-sciences,"healthcare machine learning",3200,6.87,medium,71,secondary,45
"Healthcare & Life Sciences",healthcare-life-sciences,"AI patient care",2900,5.94,medium,65,secondary,45
"Healthcare & Life Sciences",healthcare-life-sciences,"medical artificial intelligence",2600,7.56,medium,73,secondary,36
"Healthcare & Life Sciences",healthcare-life-sciences,"healthcare AI solutions",2100,8.43,high,76,secondary,28
"Healthcare & Life Sciences",healthcare-life-sciences,"AI drug discovery",1800,12.34,high,78,secondary,23
"Healthcare & Life Sciences",healthcare-life-sciences,"AI radiology",1500,9.87,medium,70,secondary,21
"Finance & Banking",finance-banking,"AI in finance",22400,8.76,high,71,primary,315
"Finance & Banking",finance-banking,"fintech AI",12100,9.23,high,74,secondary,164
"Finance & Banking",finance-banking,"AI trading",9800,11.45,high,77,secondary,127
"Finance & Banking",finance-banking,"robo advisor",8200,15.67,high,82,secondary,100
"Finance & Banking",finance-banking,"AI fraud detection",6900,12.89,high,79,secondary,87
"Finance & Banking",finance-banking,"banking artificial intelligence",5100,8.94,medium,73,secondary,70
"Finance & Banking",finance-banking,"algorithmic trading",4700,13.21,high,80,secondary,59
"Finance & Banking",finance-banking,"AI credit scoring",3600,10.34,high,76,secondary,47
"Finance & Banking",finance-banking,"financial machine learning",2800,9.67,medium,72,secondary,39
"Finance & Banking",finance-banking,"AI risk management",2400,11.78,high,78,secondary,31
"Retail & E-Commerce",retail-ecommerce,"AI in retail",16800,5.43,medium,68,primary,247
"Retail & E-Commerce",retail-ecommerce,"ecommerce AI",11200,6.78,medium,71,secondary,158
"Retail & E-Commerce",retail-ecommerce,"AI personalization",8900,7.45,medium,69,secondary,129
"Retail & E-Commerce",retail-ecommerce,"AI recommendation engine",6400,8.12,medium,72,secondary,89
"Retail & E-Commerce",retail-ecommerce,"retail artificial intelligence",4300,6.23,medium,70,secondary,61
"Retail & E-Commerce",retail-ecommerce,"AI inventory management",3800,9.34,medium,74,secondary,51
"Retail & E-Commerce",retail-ecommerce,"dynamic pricing AI",2900,11.56,high,77,secondary,38
"Retail & E-Commerce",retail-ecommerce,"AI visual search",2600,7.89,medium,73,secondary,36
"Retail & E-Commerce",retail-ecommerce,"retail chatbot",2200,5.67,medium,66,secondary,33
"Retail & E-Commerce",retail-ecommerce,"AI demand forecasting",1900,10.23,high,75,secondary,25
"Manufacturing & Supply Chain",manufacturing-supply-chain,"smart factory",14500,7.89,medium,70,primary,207
"Manufacturing & Supply Chain",manufacturing-supply-chain,"AI in manufacturing",9200,8.45,medium,73,secondary,126
"Manufacturing & Supply Chain",manufacturing-supply-chain,"industrial AI",6800,9.12,medium,72,secondary,94
"Manufacturing & Supply Chain",manufacturing-supply-chain,"AI predictive maintenance",5900,11.34,high,76,secondary,78
"Manufacturing & Supply Chain",manufacturing-supply-chain,"smart manufacturing",4700,8.67,medium,71,secondary,66
"Manufacturing & Supply Chain",manufacturing-supply-chain,"AI quality control",3600,9.78,medium,74,secondary,49
"Manufacturing & Supply Chain",manufacturing-supply-chain,"manufacturing automation AI",2900,10.45,high,75,secondary,39
"Manufacturing & Supply Chain",manufacturing-supply-chain,"supply chain AI",2700,9.23,medium,73,secondary,37
"Manufacturing & Supply Chain",manufacturing-supply-chain,"AI production optimization",2100,11.67,high,77,secondary,27
"Manufacturing & Supply Chain",manufacturing-supply-chain,"industrial machine learning",1800,8.94,medium,72,secondary,25
"Transportation & Logistics",transportation-logistics,"AI in logistics",12300,7.23,medium,69,primary,178
"Transportation & Logistics",transportation-logistics,"fleet management AI",8400,9.45,medium,72,secondary,117
"Transportation & Logistics",transportation-logistics,"AI route optimization",6700,10.23,high,75,secondary,89
"Transportation & Logistics",transportation-logistics,"logistics artificial intelligence",4200,8.67,medium,71,secondary,59
"Transportation & Logistics",transportation-logistics,"transportation AI",3900,7.89,medium,70,secondary,56
"Transportation & Logistics",transportation-logistics,"AI delivery optimization",3100,11.56,high,76,secondary,41
"Transportation & Logistics",transportation-logistics,"autonomous vehicles",2800,6.78,medium,68,secondary,41
"Transportation & Logistics",transportation-logistics,"smart logistics",2500,8.34,medium,71,secondary,35
"Transportation & Logistics",transportation-logistics,"AI warehouse management",2200,9.67,medium,73,secondary,30
"Transportation & Logistics",transportation-logistics,"freight AI",1600,8.45,medium,70,secondary,23
"Marketing, Advertising & Media",marketing-advertising-media,"AI marketing",27100,6.78,high,74,primary,366
"Marketing, Advertising & Media",marketing-advertising-media,"marketing automation AI",15600,8.45,high,76,secondary,205
